FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;POSAR;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES;AGRENA;FLETES;SEGURO;OTROSG
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;6;2;603121000;11;11;U;2120,00;69,12;63,00;367,20;1753743,52;0;0;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;6;2;603129000;11;11;U;15040,00;539,87;492,00;2704,00;12914276,96;0;0;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;1;603121000;11;11;U;2400,00;72,48;60,00;432,00;2008238,40;416,18;0;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;1;603129000;11;11;U;44535,00;1594,51;1434,00;7099,27;33923873,22;6799,58;0;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;1;603900000;11;11;U;36384,00;1218,98;1182,00;49245,06;235279600,50;43727,25;0;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;2;603121000;11;11;U;1800,00;67,94;56,00;297,00;1475000,01;0;0;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;2;603129000;11;11;U;7680,00;296,05;244,00;1380,80;6857508,46;0;0;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;2;804200000;11;33;KG;18,00;22,35;18,00;56,70;264774,25;0;53,99;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;2;804501000;11;33;KG;24,00;29,80;24,00;71,50;333886,41;0;68,08;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;2;810901030;11;33;KG;133,25;165,47;133,25;325,00;1517665,50;0;309,46;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;2;810902000;11;33;KG;33,00;40,98;33,00;121,00;565038,54;0;115,22;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;2;810903000;11;33;KG;89,00;110,52;89,00;234,00;1092719,16;0;222,81;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;2;810904000;11;33;KG;50,60;62,83;50,60;174,20;813468,70;0;165,87;0;0
